,Account,Date,Time,Vendor,Price
0,Dining Cash,2018-03-06,17:09:00,WEPA SEH 2nd FLR,0.16
1,Dining Cash,2018-03-06,14:07:00,Subway GW,8.17
2,Dining Cash,2018-03-05,11:09:00,GW DELI,6.0
3,Dining Cash,2018-03-04,22:29:00,Guthridge Hall Dryer B5,1.75
4,Dining Cash,2018-03-04,21:49:00,Guthridge Hall Washer A2,1.75
5,Dining Cash,2018-03-04,21:48:00,Guthridge Hall Washer A1,1.75
6,Dining Cash,2018-03-04,17:22:00,WEPA SEH 2nd FLR,0.24
7,Dining Cash,2018-03-04,17:22:00,WEPA SEH 2nd FLR,0.24
8,Dining Cash,2018-03-04,17:22:00,WEPA SEH 2nd FLR,0.08
9,Dining Cash,2018-03-04,13:34:00,Chipotle 2000 Pen,10.34
10,Dining Cash,2018-03-03,19:07:00,Starbucks #8759,5.39
11,Dining Cash,2018-03-03,12:47:00,Whole Foods,9.9
12,Dining Cash,2018-03-02,11:59:00,Chick-fil-A DH,8.39
13,Dining Cash,2018-03-01,20:19:00,Whole Foods,8.8
14,Dining Cash,2018-03-01,14:08:00,Subway GW,8.12
15,Dining Cash,2018-02-28,12:18:00,Sol Mexican,11.83
16,Dining Cash,2018-02-28,12:07:00,WEPA SEH 2nd FLR,0.72
17,Dining Cash,2018-02-28,12:06:00,WEPA SEH 2nd FLR,0.32
18,Dining Cash,2018-02-27,19:12:00,Penn Grill & Cafe,11.87
19,Dining Cash,2018-02-27,12:05:00,Subway GW,5.31
20,Dining Cash,2018-02-26,20:37:00,Chick-fil-A DH,8.39
21,Dining Cash,2018-02-26,12:03:00,Wiseguy Pizza,8.78
22,Dining Cash,2018-02-25,14:38:00,Whole Foods,9.9
23,Dining Cash,2018-02-24,19:23:00,Whole Foods,11.88
24,Dining Cash,2018-02-23,14:19:00,Whole Foods,8.8
25,Dining Cash,2018-02-22,19:32:00,Chick-fil-A DH,8.39
26,Dining Cash,2018-02-21,20:25:00,Chipotle 2000 Pen,10.34
27,Dining Cash,2018-02-21,10:42:00,GW DELI,6.05
28,Dining Cash,2018-02-20,19:59:00,Whole Foods,8.8
29,Dining Cash,2018-02-20,12:17:00,GW DELI,6.0
30,Dining Cash,2018-02-19,18:23:00,Chick-fil-A DH,8.39
31,Dining Cash,2018-02-19,14:20:00,WEPA SEH LL2,0.16
32,Dining Cash,2018-02-18,18:24:00,Guthridge Hall Dryer B1,1.75
33,Dining Cash,2018-02-18,17:38:00,Guthridge Hall Washer A5,1.75
34,Dining Cash,2018-02-18,17:37:00,Guthridge Hall Washer A4,1.75
35,Dining Cash,2018-02-17,16:28:00,Whole Foods,4.49
36,Dining Cash,2018-02-17,16:26:00,Whole Foods,9.35
37,Dining Cash,2018-02-16,18:11:00,Gallery Market,4.79
38,Dining Cash,2018-02-16,13:05:00,Penn Grill & Cafe,13.52
39,Dining Cash,2018-02-15,14:28:00,Chick-fil-A DH,8.39
40,Dining Cash,2018-02-15,11:07:00,WEPA Dug 351,0.16
41,Dining Cash,2018-02-14,17:03:00,Whole Foods,24.98
42,Dining Cash,2018-02-14,12:03:00,Roti Mediterranean Grill,9.08
43,Dining Cash,2018-02-14,11:00:00,WEPA SEH LL1,0.08
44,Dining Cash,2018-02-14,10:55:00,WEPA SEH LL1,0.32
45,Dining Cash,2018-02-14,10:55:00,WEPA SEH LL1,0.48
46,Dining Cash,2018-02-14,10:55:00,WEPA SEH LL1,0.08
47,Dining Cash,2018-02-14,10:55:00,WEPA SEH LL1,0.08
48,Dining Cash,2018-02-13,18:52:00,Chick-fil-A DH,8.94
49,Dining Cash,2018-02-13,08:35:00,GW DELI,6.05
50,Dining Cash,2018-02-12,11:52:00,Whole Foods,10.45
51,Dining Cash,2018-02-11,20:59:00,Chipotle 2000 Pen,11.33
52,Dining Cash,2018-02-10,14:17:00,Whole Foods,9.9
53,Dining Cash,2018-02-09,17:42:00,Whole Foods,63.22
54,Dining Cash,2018-02-09,14:08:00,Chick-fil-A DH,8.94
55,Dining Cash,2018-02-09,11:25:00,WEPA SEH 2nd FLR,1.2
56,Dining Cash,2018-02-08,20:18:00,Whole Foods,11.55
57,Dining Cash,2018-02-08,10:53:00,GW DELI,6.05
58,Dining Cash,2018-02-07,17:14:00,Chipotle 2000 Pen,11.33
59,Dining Cash,2018-02-06,22:27:00,WEPA SEH LL2,0.16
60,Dining Cash,2018-02-06,17:26:00,Penn Grill & Cafe,12.0
61,Dining Cash,2018-02-05,20:39:00,Chick-fil-A DH,13.95
62,Dining Cash,2018-02-03,16:43:00,Guthridge Hall Dryer B6,1.75
63,Dining Cash,2018-02-03,15:59:00,Guthridge Hall Washer A5,1.75
64,Dining Cash,2018-02-03,15:59:00,Guthridge Hall Washer A6,1.75
65,Dining Cash,2018-02-03,13:04:00,GW DELI,6.0
66,Dining Cash,2018-02-02,18:39:00,7-Eleven #33452 GW,3.38
67,Dining Cash,2018-02-02,12:54:00,Chipotle 2000 Pen,11.33
68,Dining Cash,2018-02-01,22:03:00,Whole Foods,15.04
69,Dining Cash,2018-02-01,18:16:00,WEPA Tmpkn 4Flr,0.08
