date,account,time,vendor,price
2018-01-14,Dining Cash,21:13:00,Guthridge Hall Washer A2,-1.75
2018-01-14,Dining Cash,21:45:00,Guthridge Hall Dryer B2,-1.75
2018-01-15,Dining Cash,21:19:00,TGI Fridays #1757 GW,-7.81
2018-01-15,Dining Cash,17:00:00,Whole Foods,-21.85
2018-01-16,Dining Cash,12:06:00,Wiseguy Pizza,-4.39
2018-01-17,Dining Cash,12:18:00,Sol Mexican,-9.63
2018-01-17,Dining Cash,19:29:00,Chick-fil-A DH,-5.38
2018-01-18,Dining Cash,12:51:00,Gallery Market,-40.93
2018-01-18,Dining Cash,18:50:00,Chipotle 2000 Pen,-8.47
2018-01-19,Dining Cash,00:52:00,Surf Side Taco Stand,-4.35
2018-01-19,Dining Cash,12:58:00,&Pizza,-10.5
2018-01-19,Dining Cash,18:22:00,Panera Bread,-10.21
2018-01-20,Dining Cash,12:22:00,Potbelly Sandwich Works - GW,-8.86
2018-01-20,Dining Cash,19:12:00,GRK Fresh DH,-9.3
2018-01-21,Dining Cash,22:52:00,Guthridge Hall Dryer B7,-1.75
2018-01-21,Dining Cash,22:19:00,Guthridge Hall Washer A2,-1.75
2018-01-21,Dining Cash,20:00:00,&Pizza,-10.5
2018-01-21,Dining Cash,13:12:00,Whole Foods,-11.69
2018-01-21,Dining Cash,14:36:00,WEPA Glmn 1FLe,-0.4
2018-01-22,Dining Cash,12:01:00,Roti Mediterranean Grill,-9.08
2018-01-23,Dining Cash,12:11:00,Sol Mexican,-9.63
2018-01-23,Dining Cash,18:21:00,Chick-fil-A DH,-8.39
2018-01-24,Dining Cash,12:06:00,WEPA SEH 2nd FLR,-0.16
2018-01-24,Dining Cash,12:26:00,WEPA SEH Gnd FLR,-0.24
2018-01-24,Dining Cash,14:19:00,Roti Mediterranean Grill,-9.08
2018-01-25,Dining Cash,21:32:00,CVS #01358,-1.36
2018-01-25,Dining Cash,13:11:00,Sol Mexican,-9.63
2018-01-25,Dining Cash,21:01:00,&Pizza,-10.5
2018-01-26,Dining Cash,18:00:00,TGI Fridays #1757 GW,-6.25
2018-01-26,Dining Cash,12:34:00,Wiseguy Pizza,-8.78
2018-01-27,Dining Cash,17:18:00,Chick-fil-A DH,-8.39
2018-01-27,Dining Cash,21:46:00,CVS #01358,-4.31
2018-01-28,Dining Cash,13:19:00,Sol Mexican,-12.16
2018-01-28,Dining Cash,19:50:00,Burger Tap and Shake,-9.35
2018-01-29,Dining Cash,17:19:00,Sol Mexican,-9.63
2018-01-29,Dining Cash,22:47:00,CVS #02847,-7.93
2018-01-29,Dining Cash,11:12:00,Guthridge Hall Dryer B6,-1.75
2018-01-29,Dining Cash,10:42:00,Guthridge Hall Washer A3,-1.75
2018-01-29,Dining Cash,14:08:00,Sodexo GW Hospital,-3.84
2018-01-30,Dining Cash,18:18:00,GRK Fresh DH,-8.53
2018-01-30,Dining Cash,13:00:00,Wiseguy Pizza,-8.78
2018-01-31,Dining Cash,11:59:00,Whole Foods,-8.8
2018-01-31,Dining Cash,12:05:00,Whole Foods,-2.29
